Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480000,177600,210
1,Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310000,,275
2,The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2500000,825000,50
3,Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1500000,,141
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350000,,585
5,Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690000,96600,264
6,Machine Learning,Stanford University,COURSE,4.9,,3200000,,25
7,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510000,,264
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000,,245
9,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000,,395
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310000,,140
11,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240000,,182
12,IBM Applied AI,,PROFESSIONAL CERTIFICATE,4.6,Beginner,220000,,217
13,Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830000,,278
14,Financial Markets,Yale University,COURSE,4.8,Beginner,470000,,60
15,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740000,133200,142
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260000,,220
17,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280000,,188
18,Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000,,159
19,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000,,187
20,Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290000,,199
21,COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220000,39600,15
22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120000,,287
23,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160000,,249
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120000,37200,167
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93000,16740,428
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000,,157
27,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170000,,188
28,Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380000,,201
29,Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270000,99900,35
30,Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230000,,179
31,Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440000,,255
32,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89000,,233
33,Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110000,33000,291
34,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140000,39200,208
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000,1560,231
36,Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610000,,243
37,Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,190000,,38
38,Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490000,88200,275
39,Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220000,,185
40,Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,750000,,21
41,Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280000,,64
42,Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,280000,,133
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000,27300,290
44,Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790000,237000,169
45,Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380000,114000,274
46,UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68000,,283
47,Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed,1300000,,32
48,Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61000,16470,125
49,Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130000,44200,165
50,Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82000,31980,253
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000,,224
52,Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98000,,243
53,Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140000,,167
54,AI For Everyone,deeplearning.ai,COURSE,4.8,,350000,101500,25
55,Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150000,,225
56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150000,,300
57,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280000,,34
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000,,290
59,Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140000,36400,174
60,Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000,,254
61,Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220000,,135
62,Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630000,,25
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000,,291
64,Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110000,13200,281
65,The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22000,3080,195
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20000,,234
67,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100000,,150
68,Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370000,,46
69,Writing in the Sciences,Stanford University,COURSE,4.9,Beginner,140000,,40
70,Data Visualization with Tableau,,SPECIALIZATION,4.5,Beginner,96000,38400,261
71,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed,150000,28500,61
72,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57000,,40
73,Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120000,,42
74,Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160000,27200,133
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000,,256
76,Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80000,,229
77,Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120000,,37
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150000,,158
79,Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97000,,200
80,Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99000,,205
81,The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120000,12000,173
82,Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,,23000,,289
83,Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220000,,56
84,Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220000,,150
85,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65000,,22
86,Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330000,62700,166
87,Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260000,,294
88,What is Data Science?,IBM,COURSE,4.7,Beginner,260000,,20
89,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140000,40600,293
90,Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68000,22440,24
91,Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23000,,281
92,Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200000,,10
93,Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100000,31000,214
94,Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70000,25200,231
95,Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,,,284
96,Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110000,,214
97,The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84000,,247
98,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35000,,248
99,Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180000,,28
100,Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240000,,62
101,Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310000,99200,23
102,Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57000,,52
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,,190000,,131
104,Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89000,,267
105,Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160000,,265
106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210000,,65
107,Camino a la Excelencia en Gestión de Proyectos,,COURSE,4.7,Beginner,340000,,54
108,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150000,33000,254
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36000,,51
110,Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51000,,79
111,Python Data Structures,University of Michigan,COURSE,4.9,Mixed,420000,,87
112,Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80000,,134
113,First Step Korean,Yonsei University,COURSE,4.9,Beginner,400000,60000,40
114,Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,79000,30810,39
115,G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10000,2000,180
116,Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92000,30360,256
117,User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23000,,221
118,The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320000,,192
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000,10800,246
120,Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8700,,269
121,Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140000,35000,27
122,Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110000,37400,147
123,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270000,48600,33
124,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56000,,259
125,Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72000,8640,136
126,Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000,,202
127,Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34000,,279
128,Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150000,,212
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000,3480,63
130,Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20000,,260
131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14000,1960,160
132,Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,,77000,8470,196
133,The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23000,,148
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300,,224
135,The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130000,22100,78
136,Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220000,68200,67
137,Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,,,123
138,The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100000,,55
139,Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67000,,60
140,Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93000,,156
141,Game Theory,Stanford University,COURSE,4.6,Beginner,260000,,22
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000,,228
143,Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,,21000,,166
144,What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner,120000,,76
145,Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9400,,260
146,Tools for Data Science,IBM,COURSE,4.6,Beginner,120000,,36
147,Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14000,,172
148,Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210000,44100,144
149,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76000,,229
150,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220000,,124
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270000,,146
152,Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170000,,54
153,UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44000,,337
154,Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39000,5460,274
155,Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43000,6450,296
156,Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68000,,104
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000,76800,160
158,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100000,19000,37
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000,8050,56
160,SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370000,74000,192
161,Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30000,,21
162,Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290000,,13
163,Финансовые инструменты для частного инвестора,,SPECIALIZATION,4.7,Beginner,38000,,264
164,Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200000,,177
165,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110000,,28
166,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110000,,190
167,Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18000,4140,277
168,Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120000,28800,159
169,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180000,,69
170,Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16000,3040,250
171,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,,14000,3920,171
172,Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120000,,218
173,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24000,3840,58
174,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42000,,21
175,English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760000,136800,38
176,Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100000,,14
177,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28000,,171
178,Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15000,5400,195
179,Crash Course on Python,,COURSE,4.8,Beginner,81000,25110,19
180,Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7000,,271
181,Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290000,,167
182,Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate,120000,,173
183,Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32000,,149
184,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97000,,198
185,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Mixed,190000,,33
186,Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60000,,184
187,Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390000,,43
188,Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42000,,139
189,Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220000,48400,23
190,Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82000,29520,206
191,Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.8,Intermediate,190000,,49
192,Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79000,,47
193,International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35000,,53
194,Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110000,,15
195,Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49000,,155
196,Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75000,28500,157
197,Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51000,,287
198,Data Science Methodology,IBM,COURSE,4.6,Beginner,89000,,40
199,Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed,310000,108500,33
200,Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12000,,35
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000,,61
202,Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68000,,243
203,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26000,,267
204,Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200000,20000,41
205,Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54000,,125
206,Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100000,38000,153
207,Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240000,,41
208,Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18000,,167
209,Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64000,,202
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56000,,36
211,Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57000,,175
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000,5200,38
213,Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Mixed,,0,54
214,Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170000,,45
215,Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20000,,202
216,Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,72000,,45
217,TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12000,,152
218,Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76000,,17
219,Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72000,,286
220,Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68000,10200,298
221,Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33000,,41
222,C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36000,,258
223,Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140000,37800,25
224,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22000,,174
225,English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230000,,72
226,"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22000,5280,229
227,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120000,,35
228,International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41000,,39
